username,connections_count,followers_count,following_count,activity_count,number_of_posts,account_age_days,bio_length,has_profile_pic,has_cover_photo,followers_following_ratio,label
ishaan_joshi,4197,180,4017,34,21,141,19,1,0,0.04,1
krishna.joshi,97951,96910,1041,2365,493,984,142,1,1,93.09,0
priya_654,4682,7,4675,16,19,46,17,0,0,0.0,1
suresh_259,38379,37368,1011,4021,1225,250,106,1,1,36.96,0
rahul831,64755,64554,201,4826,870,467,130,1,0,321.16,0
prathamesh305,4931,60,4871,53,15,22,38,0,1,0.01,1
sai.kharat,1142,30,1112,26,36,79,40,0,1,0.03,1
adityasutar,54617,53645,972,4964,55,841,110,1,1,55.19,0
ishaan.bhise,2586,119,2467,80,43,19,37,0,1,0.05,1
ishaankadam,1689,30,1659,39,4,37,38,1,1,0.02,1
neha_gaikwad,4621,276,4345,56,32,70,5,0,1,0.06,1
aditya482,76744,75492,1252,269,1762,2961,147,1,1,60.3,0
suman_patel,4169,299,3870,62,11,72,5,1,1,0.08,1
adityakadam,92085,91021,1064,2461,893,1550,134,1,1,85.55,0
vihaanjoshi,4721,206,4515,0,7,83,42,1,1,0.05,1
prathamesh_chavhan,1993,26,1967,34,28,161,35,0,1,0.01,1
riya_singh,72377,72299,78,4624,686,848,102,1,0,926.91,0
suman.chavhan,94673,94026,647,4268,1960,2241,140,1,1,145.33,0
pooja349,2057,196,1861,76,9,142,32,0,0,0.11,1
aishwarya782,4463,152,4311,19,18,1,28,1,1,0.04,1
aditya_763,2352,96,2256,73,20,117,24,0,1,0.04,1
prathamesh_539,4434,77,4357,4,42,99,8,1,0,0.02,1
aishwarya_shinde,86289,85923,366,712,889,790,110,1,1,234.76,0
arjunsutar,3088,194,2894,80,34,173,45,1,0,0.07,1
kavyapatil,14610,13003,1607,923,938,570,106,1,0,8.09,0
suresh_kharat,50163,49231,932,1292,784,1401,81,1,1,52.82,0
ananya_kadam,4499,123,4376,74,43,159,9,0,1,0.03,1
nikhilgaikwad,1873,279,1594,9,43,74,28,1,1,0.18,1
priya_23,63703,63435,268,2043,1797,1775,98,1,1,236.7,0
riyajoshi,4394,25,4369,36,36,3,49,0,1,0.01,1
aditya.kulkarni,83715,82342,1373,422,248,2773,89,1,1,59.97,0
shreyapawar,98973,98073,900,1538,719,1408,75,1,0,108.97,0
ishaan_kadam,64957,63256,1701,2517,1921,1252,145,1,1,37.19,0
saishinde,90280,88747,1533,3355,1811,1124,158,1,1,57.89,0
shreya.singh,89871,88288,1583,2247,804,2062,124,1,1,55.77,0
kavya.jadhav,3274,287,2987,78,39,7,14,0,1,0.1,1
nikita380,64956,64669,287,896,673,352,80,1,0,225.33,0
aditya_223,3777,79,3698,12,47,151,31,1,1,0.02,1
shivali_gaikwad,3359,50,3309,69,23,61,41,1,0,0.02,1
rohan71,582,108,474,6,42,24,50,1,0,0.23,1
pooja134,31361,30639,722,1308,492,2601,150,1,0,42.44,0
vivaan_kharat,1392,13,1379,1,7,45,22,0,1,0.01,1
shreya_pawar,16573,14996,1577,620,1127,1924,110,1,1,9.51,0
yogesh_shinde,4593,22,4571,38,14,129,29,0,0,0.0,1
poojabhise,2979,41,2938,77,4,114,9,0,0,0.01,1
ishaan.bhise,4166,150,4016,64,33,153,38,1,0,0.04,1
nehajadhav,3287,211,3076,58,14,116,25,1,0,0.07,1
krishna.kulkarni,1091,242,849,11,43,40,5,0,1,0.29,1
nikhilsharma,74445,73720,725,1101,1200,2602,102,1,1,101.68,0
krishna866,4751,295,4456,27,6,91,9,1,0,0.07,1
vivaankharat,2294,142,2152,54,48,30,35,0,1,0.07,1
rahul94,1565,92,1473,72,0,90,42,1,0,0.06,1
neha_kamble,60308,59560,748,1389,909,1740,97,1,1,79.63,0
nikhil_622,81232,81081,151,768,1595,844,84,1,1,536.96,0
prajktapawar,1494,262,1232,44,13,70,27,0,1,0.21,1
kunalmehta,78816,78654,162,162,859,1103,76,1,1,485.52,0
riyapawar,4377,3,4374,55,7,84,11,0,1,0.0,1
arjun_590,97496,97360,136,3673,1814,1826,52,1,1,715.88,0
mrunal_91,1391,148,1243,51,26,164,1,1,0,0.12,1
kavyapatel,78154,77284,870,4392,942,1196,60,1,1,88.83,0
divya.kulkarni,83381,83098,283,4446,1095,512,115,1,0,293.63,0
arjun_975,34104,33650,454,1521,349,621,127,1,0,74.12,0
rahul_70,4273,296,3977,72,48,145,41,1,1,0.07,1
mrunal_kadam,900,140,760,45,19,162,32,0,1,0.18,1
ankit_620,4499,46,4453,49,4,74,29,0,1,0.01,1
suresh_254,15376,13666,1710,2913,972,453,141,1,0,7.99,0
aishwaryasharma,3362,81,3281,47,33,135,18,1,1,0.02,1
rahul84,74672,73233,1439,3266,243,1550,86,1,1,50.89,0
kavyabhise,87570,86090,1480,3310,685,1632,66,1,0,58.17,0
shreyapatil,98385,96932,1453,4412,1489,2944,61,1,1,66.71,0
arjun_kale,64279,63836,443,1955,749,1077,67,1,0,144.1,0
amit852,81424,81106,318,4992,739,2911,98,1,0,255.05,0
prathamesh.sutar,54748,53952,796,2045,139,1992,106,1,1,67.78,0
suman.kharat,5160,188,4972,56,12,121,29,1,1,0.04,1
ishaan.kale,85174,84140,1034,3140,156,1224,120,1,0,81.37,0
vivaan_55,3958,75,3883,11,32,116,14,1,1,0.02,1
aishwarya_mehta,3412,41,3371,28,24,61,1,1,0,0.01,1
vivaan.gaikwad,4213,71,4142,57,44,121,39,0,0,0.02,1
suman_kadam,2393,147,2246,38,49,29,7,0,0,0.07,1
nikhilpatil,4529,8,4521,73,34,153,15,0,1,0.0,1
arjun558,26061,24651,1410,801,903,2537,117,1,1,17.48,0
vivaan_kulkarni,61860,61721,139,3269,1838,1799,97,1,1,444.04,0
suresh_713,3076,53,3023,17,46,62,2,1,1,0.02,1
ankit.sharma,95592,93953,1639,3849,179,752,54,1,1,57.32,0
ananya.sharma,41847,40742,1105,3362,1961,1492,154,1,1,36.87,0
shivali_917,3043,24,3019,34,49,92,7,1,1,0.01,1
sai.jadhav,3563,254,3309,66,31,48,17,0,1,0.08,1
amit_360,3026,40,2986,37,6,83,19,1,1,0.01,1
shreya.pawar,57720,57108,612,569,1309,1644,59,1,1,93.31,0
arjunsutar,81173,79735,1438,3689,1788,784,54,1,0,55.45,0
arjunmehta,1572,16,1556,57,36,99,23,1,1,0.01,1
nikitabhise,2486,142,2344,14,41,81,1,0,1,0.06,1
prathamesh_921,4469,146,4323,25,13,115,7,0,0,0.03,1
priya.kale,43406,41989,1417,2946,1781,2993,140,1,0,29.63,0
snehachavhan,29789,29491,298,1746,1091,1680,151,1,0,98.96,0
suman844,1072,66,1006,8,35,120,19,1,1,0.07,1
rohan656,84493,84292,201,3786,699,713,109,1,1,419.36,0
rahul.kale,67926,66011,1915,553,936,728,156,1,0,34.47,0
rohan630,2891,265,2626,10,22,58,16,0,1,0.1,1
aishwarya_sharma,23465,22203,1262,4856,1362,2258,69,1,0,17.59,0
suman510,85805,84176,1629,4824,1992,386,83,1,0,51.67,0
vihaan_451,2553,247,2306,51,19,165,19,1,0,0.11,1
shivalimehta,1650,174,1476,40,13,119,45,1,1,0.12,1
rahulsingh,61541,61241,300,2291,545,1507,107,1,0,204.14,0
amit_528,1735,127,1608,41,26,158,36,1,0,0.08,1
kunal_kulkarni,1048,11,1037,50,31,79,32,1,0,0.01,1
rohangaikwad,2880,240,2640,68,38,127,0,0,1,0.09,1
priya396,924,205,719,72,2,94,35,0,1,0.29,1
shreya204,1414,60,1354,12,17,141,25,1,1,0.04,1
mrunal621,641,23,618,17,2,129,45,1,1,0.04,1
aishwarya849,81158,80456,702,1431,1957,1543,100,1,1,114.61,0
kavya_612,679,243,436,47,19,145,21,0,1,0.56,1
nikita.mehta,2460,296,2164,6,50,168,37,1,0,0.14,1
neha_156,92193,91918,275,1662,1991,2545,52,1,1,334.25,0
rohan213,82182,80247,1935,3963,1077,1880,158,1,0,41.47,0
divya_625,3655,269,3386,40,30,170,11,1,1,0.08,1
kunal_325,73910,73249,661,1942,621,1209,88,1,1,110.82,0
divya_mehta,2797,140,2657,15,50,144,36,1,1,0.05,1
pooja112,2626,226,2400,61,22,21,13,0,1,0.09,1
vihaansingh,89799,87896,1903,4450,153,1193,78,1,0,46.19,0
yogeshjoshi,412,70,342,70,43,26,10,1,1,0.2,1
suman_kharat,1062,30,1032,73,41,74,14,0,0,0.03,1
priya657,754,148,606,1,11,127,19,0,1,0.24,1
mrunal.gaikwad,2774,239,2535,24,32,35,7,1,0,0.09,1
nikhil_pawar,39981,38769,1212,1682,1669,1580,72,1,1,31.99,0
ananya_242,1545,94,1451,61,6,172,20,0,0,0.06,1
vihaansingh,5291,298,4993,1,19,85,16,1,0,0.06,1
priya.kulkarni,67906,65966,1940,2647,1455,1860,138,1,0,34.0,0
kunal697,21159,20178,981,3160,1029,747,103,1,1,20.57,0
vihaan925,70819,69328,1491,3063,964,2352,59,1,0,46.5,0
ishaan735,20127,19741,386,2787,1149,2545,159,1,1,51.14,0
vihaanbhise,983,228,755,58,32,24,8,1,1,0.3,1
aditya_jadhav,2072,495,1577,1885,571,1821,124,1,0,0.31,0
rohan_384,62089,61975,114,2451,1962,482,102,1,0,543.64,0
suresh403,4758,41,4717,17,24,97,41,1,0,0.01,1
nikhil.bhise,2153,555,1598,286,1759,1112,88,1,1,0.35,0
aditya_jadhav,21046,20432,614,1644,758,2086,142,1,0,33.28,0
sneha_412,14590,13324,1266,375,187,1044,107,1,0,10.52,0
riya592,100796,98978,1818,562,494,2410,67,1,1,54.44,0
vihaan972,4643,73,4570,28,19,61,26,1,1,0.02,1
nikita_327,57282,56094,1188,4160,1440,2764,56,1,1,47.22,0
kavya_826,1998,192,1806,68,19,39,30,0,0,0.11,1
snehagaikwad,55883,54692,1191,4441,895,2503,67,1,1,45.92,0
vihaan387,48976,48737,239,4487,1784,2042,142,1,0,203.92,0
kunal_patel,101190,99937,1253,4678,435,498,77,1,1,79.76,0
shivalisutar,17055,15476,1579,4023,1568,978,81,1,0,9.8,0
mrunal_823,3516,273,3243,39,29,98,16,1,1,0.08,1
vivaan567,3850,160,3690,5,23,53,36,0,0,0.04,1
aishwarya_782,3102,100,3002,29,9,76,24,0,1,0.03,1
vihaan_pawar,1866,180,1686,17,10,118,46,1,0,0.11,1
aarav_518,19896,18121,1775,1995,894,226,58,1,0,10.21,0
vivaanpawar,4543,247,4296,2,39,16,0,1,0,0.06,1
ankitpawar,1988,220,1768,13,32,5,6,0,0,0.12,1
kavya_kamble,3817,191,3626,58,5,102,36,0,0,0.05,1
amit_512,50717,49536,1181,3999,826,1860,57,1,0,41.94,0
adityakamble,918,270,648,29,6,145,13,1,1,0.42,1
shivali.kamble,41402,41320,82,1797,1952,934,125,1,0,503.9,0
rohankamble,52543,51107,1436,4528,1759,2521,92,1,1,35.59,0
nehapatil,32294,30527,1767,722,945,600,93,1,1,17.28,0
sai.kale,5012,182,4830,48,14,126,27,0,1,0.04,1
neha_kulkarni,21142,20314,828,1363,598,536,144,1,1,24.53,0
sai_442,48884,47275,1609,2309,960,1462,63,1,0,29.38,0
aarav_424,3244,45,3199,70,1,27,5,1,1,0.01,1
amitmehta,33137,31916,1221,4368,1903,2491,71,1,1,26.14,0
yogeshkamble,1701,32,1669,55,9,127,17,1,1,0.02,1
rohan_7,79243,77931,1312,1701,1065,2760,108,1,0,59.4,0
nehajoshi,4074,168,3906,42,24,159,27,0,1,0.04,1
neha_288,39855,38300,1555,4122,703,1831,123,1,0,24.63,0
kunalkadam,4871,102,4769,23,36,30,43,0,1,0.02,1
rahul_809,65879,65544,335,2580,1428,1875,80,1,1,195.65,0
aditya719,64156,62914,1242,3383,1274,2039,118,1,1,50.66,0
shivali_989,34032,32636,1396,3008,1624,647,71,1,0,23.38,0
prathamesh_401,34517,34013,504,4283,251,243,145,1,0,67.49,0
ishaanmehta,63641,63377,264,2520,100,1612,103,1,0,240.06,0
prathamesh_kadam,4673,105,4568,61,50,117,22,1,0,0.02,1
sneha179,543,58,485,43,45,12,41,0,0,0.12,1
suresh_656,56981,55985,996,1999,1196,1555,152,1,1,56.21,0
kunal_joshi,4083,101,3982,75,47,8,27,1,0,0.03,1
ananyachavhan,48762,48045,717,1714,432,2399,108,1,0,67.01,0
kavya.kamble,1535,300,1235,44,25,157,22,1,0,0.24,1
suman_589,1414,156,1258,23,15,31,23,0,1,0.12,1
rohan_323,1994,275,1719,71,31,48,10,1,1,0.16,1
prajkta_702,2398,1356,1042,1218,1999,1670,74,1,1,1.3,0
aditya231,1062,85,977,72,31,114,1,0,1,0.09,1
poojabhise,5167,234,4933,63,49,44,35,0,0,0.05,1
kavyasharma,29664,28744,920,938,1168,2007,144,1,0,31.24,0
amit.mehta,2301,60,2241,26,28,23,47,1,1,0.03,1
neha297,47222,46082,1140,2402,1217,443,126,1,0,40.42,0
rohansutar,1458,48,1410,52,43,132,3,1,0,0.03,1
suman_shinde,64595,64254,341,4830,854,2969,130,1,1,188.43,0
neha_patil,98997,98378,619,3123,1105,1850,108,1,1,158.93,0
kunalchavhan,1001,183,818,68,42,163,25,0,1,0.22,1
aditya_642,1664,295,1369,72,35,87,31,1,0,0.22,1
ankitmehta,21760,20807,953,3839,1953,708,50,1,1,21.83,0
amitsharma,86686,85898,788,2151,241,1322,60,1,1,109.01,0
yogesh136,13544,12053,1491,879,1392,1958,50,1,0,8.08,0
ishaan.jadhav,58504,58435,69,166,1442,2327,139,1,1,846.88,0
kavya.mehta,1227,196,1031,13,14,19,6,1,1,0.19,1
kunal_942,73998,73931,67,1444,1136,480,106,1,1,1103.45,0
nikhil.patel,1497,51,1446,15,5,56,37,1,1,0.04,1
vivaan211,11700,11142,558,4633,1370,1334,126,1,1,19.97,0
ishaan512,84955,84794,161,2060,655,1804,113,1,1,526.67,0
suman.kulkarni,2470,1681,789,2692,1870,2363,66,1,1,2.13,0
vihaanshinde,1153,300,853,1,1,19,16,0,0,0.35,1
sai81,1180,205,975,68,44,109,34,0,1,0.21,1
kavya.jadhav,43777,42927,850,4904,1148,836,131,1,0,50.5,0
kavya_kharat,57335,57048,287,3814,226,1201,128,1,0,198.77,0
amitkulkarni,65925,65165,760,4384,385,246,116,1,1,85.74,0
arjun467,56979,56372,607,4391,736,320,58,1,1,92.87,0
ishaan759,1957,290,1667,47,31,15,10,1,0,0.17,1
nikita_mehta,2260,1710,550,476,1808,380,110,1,1,3.11,0
ishaan_pawar,3836,127,3709,40,20,58,17,0,1,0.03,1
priya_kale,67847,67703,144,3384,1697,1114,58,1,1,470.16,0
mrunal_606,2790,102,2688,72,23,3,50,1,0,0.04,1
riya_bhise,32587,32229,358,152,1607,2438,102,1,0,90.03,0
prajkta.sharma,3011,192,2819,13,48,1,13,0,1,0.07,1
sai.singh,4675,118,4557,52,2,24,44,1,1,0.03,1
priyagaikwad,1100,290,810,55,37,20,42,0,0,0.36,1
ankit799,3072,167,2905,57,47,180,17,0,0,0.06,1
ishaan.bhise,22614,21644,970,3917,266,836,90,1,1,22.31,0
kunal_patel,1417,135,1282,11,29,79,10,1,0,0.11,1
vivaan_876,67550,67400,150,2548,861,1657,83,1,0,449.33,0
vihaan.sutar,15153,13457,1696,1245,996,587,65,1,0,7.93,0
prathameshmehta,2463,43,2420,9,43,96,1,0,0,0.02,1
shivali_31,60676,60523,153,1476,1979,374,123,1,1,395.58,0
adityasutar,1942,109,1833,35,22,45,17,1,0,0.06,1
suman659,1044,245,799,11,35,106,17,1,0,0.31,1
yogesh_801,73035,71358,1677,259,1692,2783,98,1,1,42.55,0
riyapatil,3645,164,3481,34,32,145,11,0,1,0.05,1
krishna.sutar,48569,46949,1620,4884,1134,2132,79,1,0,28.98,0
sureshsutar,2125,28,2097,73,50,137,24,1,0,0.01,1
kavya_kharat,5130,180,4950,72,1,152,9,0,1,0.04,1
aarav940,79459,78961,498,263,526,430,117,1,1,158.56,0
rahul_mehta,94483,94070,413,2750,747,734,57,1,0,227.77,0
amit_811,1329,202,1127,43,23,19,19,1,0,0.18,1
kavya.kale,3510,287,3223,28,45,45,42,0,1,0.09,1
riya_960,74597,74481,116,1591,851,2546,127,1,1,642.08,0
sai_patel,10835,10298,537,2941,1576,1556,90,1,0,19.18,0
vihaan_449,3205,34,3171,32,15,54,50,0,0,0.01,1
yogesh_167,50507,49738,769,4573,1059,1895,98,1,0,64.68,0
aishwarya_910,3433,2731,702,2239,653,336,63,1,0,3.89,0
vivaan.jadhav,13045,12303,742,4966,1170,507,128,1,1,16.58,0
priya_kale,3063,51,3012,26,3,41,12,1,1,0.02,1
shreya_patil,73915,72145,1770,4121,1220,1809,69,1,0,40.76,0
priya_kamble,2180,245,1935,12,40,170,1,0,0,0.13,1
shreya.shinde,2720,250,2470,11,30,102,41,1,0,0.1,1
rahulsingh,4334,225,4109,33,16,12,14,1,0,0.05,1
sneha_chavhan,1082,283,799,49,14,151,33,1,1,0.35,1
prathamesh.kharat,4825,292,4533,73,32,9,43,0,0,0.06,1
ankit855,6610,5693,917,741,308,989,137,1,1,6.21,0
pooja_pawar,1046,34,1012,49,46,82,35,1,1,0.03,1
krishna889,1590,76,1514,72,26,29,37,0,0,0.05,1
suresh.gaikwad,4473,196,4277,73,16,106,38,1,0,0.05,1
shreyapatil,2415,169,2246,6,25,10,47,1,1,0.08,1
pooja_jadhav,2217,50,2167,17,31,72,19,1,1,0.02,1
vihaan.pawar,55035,53468,1567,4068,482,2009,147,1,1,34.12,0
suresh.joshi,67402,66526,876,1211,1503,1474,149,1,0,75.94,0
pooja_844,60080,59927,153,3052,117,1221,140,1,0,391.68,0
yogeshbhise,2296,15,2281,47,7,163,31,1,0,0.01,1
vihaan875,90624,90389,235,2435,1583,1259,53,1,1,384.63,0
vivaan.patil,31042,29605,1437,1793,1375,1106,84,1,1,20.6,0
pooja_917,1717,1209,508,2167,1690,2662,127,1,1,2.38,0
aaravpawar,4234,111,4123,38,16,118,43,1,0,0.03,1
poojagaikwad,4301,55,4246,8,43,77,21,1,1,0.01,1
neha_mehta,33488,31596,1892,565,1109,814,153,1,1,16.7,0
aishwarya703,3828,214,3614,49,16,76,47,0,0,0.06,1
krishnachavhan,3018,259,2759,21,22,172,42,0,1,0.09,1
riyakale,45482,44092,1390,831,1892,2984,78,1,1,31.72,0
yogesh_joshi,4249,150,4099,15,37,67,30,0,0,0.04,1
sumankadam,953,211,742,19,19,136,8,0,1,0.28,1
aarav.kadam,45040,43698,1342,1548,1048,531,90,1,0,32.56,0
nikhil_440,21918,20866,1052,821,1615,2560,66,1,1,19.83,0
vivaan.patil,2206,273,1933,47,2,2,0,1,0,0.14,1
amit_kamble,17259,16999,260,3242,689,1610,114,1,1,65.38,0
prajkta.kulkarni,4859,266,4593,43,29,75,27,0,1,0.06,1
amit_singh,30548,30039,509,1174,89,1852,77,1,0,59.02,0
vihaan_427,971,273,698,76,16,164,3,0,0,0.39,1
suman679,4315,129,4186,19,35,32,13,0,1,0.03,1
ishaan.singh,3801,70,3731,13,38,160,32,0,1,0.02,1
priya41,69132,68669,463,3032,1752,1277,140,1,1,148.31,0
ishaan_chavhan,3254,246,3008,30,44,54,0,0,0,0.08,1
ananya_kadam,35009,33640,1369,1993,1902,614,108,1,1,24.57,0
krishna.sharma,38972,38185,787,2661,1795,361,104,1,0,48.52,0
shreya_patel,58795,57472,1323,2297,782,1546,143,1,0,43.44,0
rohan.sharma,3598,139,3459,61,29,103,26,0,0,0.04,1
sureshshinde,78568,77530,1038,4760,1916,1904,136,1,1,74.69,0
arjungaikwad,64360,64079,281,3469,1039,735,106,1,0,228.04,0
krishna.jadhav,98798,97568,1230,4728,1124,2976,78,1,1,79.32,0
amit_870,1714,197,1517,71,42,89,39,0,0,0.13,1
riya_659,3177,251,2926,30,4,43,21,1,0,0.09,1
prathamesh_122,4173,235,3938,73,5,61,28,0,1,0.06,1
sai912,54269,54146,123,4664,876,620,120,1,0,440.21,0
riya340,61892,59896,1996,2892,1425,2881,96,1,0,30.01,0
aishwaryakulkarni,1465,231,1234,12,23,169,48,0,0,0.19,1
ananya_joshi,1667,23,1644,63,6,180,8,1,0,0.01,1
ishaan469,3165,97,3068,13,29,56,48,1,0,0.03,1
yogesh.pawar,71172,69615,1557,497,58,2243,120,1,1,44.71,0
suman_281,52274,50878,1396,2736,262,725,114,1,1,36.45,0
kunal215,1499,68,1431,52,28,76,38,1,1,0.05,1
divya492,1823,67,1756,64,22,176,34,1,0,0.04,1
nikita_mehta,2915,273,2642,54,47,173,0,0,0,0.1,1
priya772,21830,21194,636,2152,1586,1293,68,1,0,33.32,0
nikitasutar,59681,59422,259,4702,1717,1669,160,1,0,229.43,0
aarav208,56364,54700,1664,2661,843,1762,120,1,0,32.87,0
prathamesh_kharat,4965,188,4777,77,40,58,12,0,1,0.04,1
pooja.bhise,67744,67450,294,3190,1555,911,55,1,1,229.42,0
adityamehta,33586,33525,61,2807,1782,2592,109,1,0,549.59,0
arjun.patel,87521,86855,666,4118,1310,2761,151,1,1,130.41,0
sai.kulkarni,66685,66309,376,3507,189,2332,119,1,1,176.35,0
ishaan.kulkarni,2239,150,2089,79,23,85,33,1,0,0.07,1
priya934,42996,42165,831,1028,1447,363,99,1,1,50.74,0
sai172,4515,228,4287,5,32,132,18,0,1,0.05,1
krishna_551,29149,27727,1422,1846,184,2767,160,1,1,19.5,0
arjunsharma,61809,60291,1518,2817,98,829,54,1,0,39.72,0
prathameshshinde,31852,29937,1915,2218,1732,2555,102,1,1,15.63,0
aditya367,16751,15606,1145,148,1428,1795,132,1,0,13.63,0
nikita_shinde,90666,89999,667,808,1661,1387,86,1,1,134.93,0
kavya_kulkarni,1529,112,1417,50,34,41,50,1,0,0.08,1
kavyajoshi,1981,759,1222,4987,135,704,100,1,0,0.62,0
sureshsutar,86556,84763,1793,4298,1904,1890,68,1,0,47.27,0
mrunalbhise,89733,88046,1687,4747,421,669,159,1,0,52.19,0
divya.mehta,27511,25975,1536,4856,251,1226,112,1,1,16.91,0
prathameshpatel,11142,9249,1893,1685,1318,1367,90,1,1,4.89,0
aarav.patel,49578,47874,1704,2691,1210,2516,104,1,0,28.1,0
kavya_chavhan,3084,68,3016,61,23,71,29,1,1,0.02,1
ankit_gaikwad,12617,10844,1773,2398,1292,2844,159,1,0,6.12,0
kunalsharma,67919,66576,1343,355,1789,276,154,1,1,49.57,0
mrunal_pawar,3372,76,3296,50,49,168,14,1,0,0.02,1
prathamesh184,2261,5,2256,78,32,94,43,0,0,0.0,1
riyakamble,47260,47128,132,1892,1973,2180,147,1,1,357.03,0
mrunalsharma,28312,27202,1110,3059,1419,375,99,1,1,24.51,0
nikita375,37706,35947,1759,2257,1347,2335,124,1,0,20.44,0
divya_499,51334,49426,1908,1925,565,2316,116,1,1,25.9,0
pooja.joshi,19264,18314,950,1456,1856,2255,79,1,0,19.28,0
suman_patel,95841,94118,1723,1069,1282,1683,134,1,0,54.62,0
sneha131,2271,245,2026,75,30,173,10,1,0,0.12,1
amit.gaikwad,67423,67293,130,4788,1339,751,68,1,0,517.64,0
yogesh_225,2631,9,2622,10,36,154,13,1,1,0.0,1
aishwarya611,25265,23939,1326,4284,1730,2586,83,1,0,18.05,0
suman_mehta,50943,50623,320,989,824,1141,52,1,0,158.2,0
sai.chavhan,81954,80676,1278,419,1896,2149,150,1,0,63.13,0
nikhil_961,57776,56657,1119,3546,1379,2979,97,1,0,50.63,0
riya291,1394,294,1100,54,37,90,8,1,1,0.27,1
nikitajoshi,360,2,358,73,12,66,33,0,0,0.01,1
